################################################################
# abuse.ch Feodo Tracker Botnet C2 IP Blocklist (Aggressive)    #
# Last updated: 2024-05-27 20:05:51 UTC                        #
#                                                              #
# Terms Of Use: https://feodotracker.abuse.ch/blocklist/       #
# For questions please contact feodotracker [at] abuse.ch      #
################################################################
#
"first_seen_utc","dst_ip","dst_port","c2_status","last_online","malware"
"2021-01-18 09:23:52","45.226.124.226","443","offline","2021-01-18","TrickBot"
"2021-01-18 09:23:56","187.189.99.216","447","offline","2021-02-17","TrickBot"
"2021-01-18 09:25:29","45.148.120.173","443","offline","2021-02-06","TrickBot"
"2021-01-18 09:27:35","45.234.212.234","447","offline","2021-02-19","TrickBot"
"2021-01-18 09:27:36","36.94.113.249","447","offline","2021-02-17","TrickBot"
"2021-01-18 09:27:38","185.118.15.137","447","offline","2021-02-12","TrickBot"
"2021-01-18 09:28:14","212.126.125.10","447","offline","2021-03-24","TrickBot"
"2021-01-18 09:29:42","36.89.193.181","447","offline","2021-08-16","TrickBot"
"2021-01-18 09:29:52","222.124.7.150","447","offline","2021-03-05","TrickBot"
"2021-01-18 09:29:59","36.94.62.207","443","offline","2021-03-18","TrickBot"
"2021-01-18 09:31:19","45.155.173.196","443","offline","2021-01-25","TrickBot"
"2021-01-18 09:36:20","107.172.29.108","443","offline","2021-05-15","TrickBot"
"2021-01-18 09:36:52","103.69.216.154","447","offline","2021-02-03","TrickBot"
"2021-01-18 09:38:19","43.245.216.238","447","offline","2021-03-29","TrickBot"
"2021-01-18 09:41:03","5.182.210.24","443","offline","2021-02-18","TrickBot"
"2021-01-18 09:42:23","186.137.85.76","443","offline","2021-02-11","TrickBot"
"2021-01-18 09:51:49","182.253.107.34","443","offline","2021-03-18","TrickBot"
"2021-01-18 09:57:01","103.91.244.50","443","offline","2021-03-10","TrickBot"
"2021-01-19 13:01:35","177.221.108.198","449","offline","2021-03-18","TrickBot"
"2021-01-19 13:55:02","104.161.32.108","443","offline","2021-01-20","TrickBot"
"2021-01-20 07:36:41","50.116.111.64","5353","offline","2021-01-24","Dridex"
"2021-01-20 07:36:42","185.184.25.234","4664","offline","2021-01-24","Dridex"
"2021-01-20 12:14:25","194.225.58.214","443","offline","2021-05-08","Dridex"
"2021-01-20 12:14:25","211.110.44.63","5353","offline","2021-09-08","Dridex"
"2021-01-20 19:12:21","85.204.116.83","443","offline","2021-01-23","TrickBot"
"2021-01-20 19:12:22","83.151.14.13","443","offline","2021-01-23","TrickBot"
"2021-01-20 21:00:15","77.220.64.40","443","offline","2021-02-01","Dridex"
"2021-01-21 09:52:40","12.175.220.98","80","offline","2021-01-26","Emotet"
"2021-01-21 09:57:47","24.178.90.49","80","offline","2021-01-26","Emotet"
"2021-01-21 09:57:48","75.127.14.170","8080","offline","2021-01-26","Emotet"
"2021-01-21 09:57:49","175.103.38.146","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:17","69.49.88.46","80","offline","","Emotet"
"2021-01-21 09:58:18","167.114.153.111","8080","offline","2021-01-26","Emotet"
"2021-01-21 09:58:18","194.190.67.75","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:18","61.19.246.238","443","offline","2021-01-26","Emotet"
"2021-01-21 09:58:19","95.9.5.93","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:20","200.116.145.225","443","offline","","Emotet"
"2021-01-21 09:58:21","115.94.207.99","443","offline","2021-01-26","Emotet"
"2021-01-21 09:58:22","81.214.253.80","443","offline","2021-01-25","Emotet"
"2021-01-21 09:58:24","220.245.198.194","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:25","120.150.60.189","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:26","110.142.236.207","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:47","12.163.208.58","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:47","81.215.230.173","443","offline","2021-01-26","Emotet"
"2021-01-21 09:58:49","60.93.23.51","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:50","78.90.78.210","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:50","177.23.7.151","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:50","161.49.84.2","80","offline","2021-01-25","Emotet"
"2021-01-21 09:58:50","85.105.111.166","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:51","65.32.168.171","80","offline","2021-01-26","Emotet"
"2021-01-21 09:58:52","64.207.182.168","8080","offline","2021-01-26","Emotet"
"2021-01-21 09:59:08","120.150.218.241","443","offline","2021-01-26","Emotet"
"2021-01-21 09:59:18","172.125.40.123","80","offline","2021-01-26","Emotet"
"2021-01-21 09:59:18","45.16.226.117","443","offline","2021-01-26","Emotet"
"2021-01-21 09:59:18","110.37.224.243","80","offline","2021-01-26","Emotet"
"2021-01-21 09:59:18","103.93.220.182","80","offline","2021-01-26","Emotet"
"2021-01-21 09:59:19","91.75.75.46","80","offline","2021-01-26","Emotet"
"2021-01-21 09:59:19","185.201.9.197","8080","offline","2021-01-26","Emotet"
"2021-01-21 09:59:19","163.53.204.180","443","offline","2021-01-25","Emotet"
"2021-01-21 09:59:19","203.157.152.9","7080","offline","2021-01-26","Emotet"
"2021-01-21 09:59:19","185.208.226.142","8080","offline","","Emotet"
"2021-01-21 09:59:19","190.85.46.52","7080","offline","2021-01-26","Emotet"
"2021-01-21 09:59:20","188.165.214.98","8080","offline","2021-01-25","Emotet"
"2021-01-21 09:59:20","50.116.111.59","8080","offline","2021-01-26","Emotet"
"2021-01-21 09:59:21","190.103.228.24","80","offline","2021-01-26","Emotet"
"2021-01-21 09:59:22","80.15.100.37","80","offline","2021-01-26","Emotet"
"2021-01-21 09:59:22","117.2.139.117","443","offline","2021-01-26","Emotet"
"2021-01-21 09:59:22","152.170.79.100","80","offline","2021-01-25","Emotet"
"2021-01-21 09:59:22","211.215.18.93","8080","offline","2021-01-26","Emotet"
"2021-01-21 09:59:25","187.162.248.237","80","offline","2021-01-26","Emotet"
"2021-01-21 09:59:25","110.39.160.38","443","offline","2021-01-26","Emotet"
"2021-01-21 09:59:39","213.52.74.198","80","offline","","Emotet"
"2021-01-21 09:59:48","37.187.72.193","8080","offline","2021-01-26","Emotet"
"2021-01-21 09:59:50","24.179.13.119","80","offline","","Emotet"
"2021-01-21 09:59:52","121.124.124.40","7080","offline","2021-01-26","Emotet"
"2021-01-21 09:59:53","12.162.84.2","8080","offline","2022-05-05","Emotet"
"2021-01-21 09:59:53","206.189.232.2","8080","offline","2021-01-25","Emotet"
"2021-01-21 09:59:53","51.89.36.180","443","offline","2021-02-01","Emotet"
"2021-01-21 09:59:55","132.248.38.158","80","offline","2021-01-26","Emotet"
"2021-01-21 09:59:56","75.177.207.146","80","offline","2021-01-26","Emotet"
"2021-01-21 09:59:57","74.40.205.197","443","offline","2021-01-26","Emotet"
"2021-01-21 10:00:11","62.84.75.50","80","offline","2021-01-26","Emotet"
"2021-01-21 10:00:17","46.105.114.137","8080","offline","2021-01-26","Emotet"
"2021-01-21 10:00:23","109.99.146.210","8080","offline","","Emotet"
"2021-01-21 10:00:28","104.236.52.89","8080","offline","2021-01-26","Emotet"
"2021-01-21 10:00:55","223.17.215.76","80","offline","2021-01-26","Emotet"
"2021-01-21 10:00:56","180.148.4.130","8080","offline","2021-01-26","Emotet"
"2021-01-21 10:01:24","50.116.78.109","8080","offline","2021-01-26","Emotet"
"2021-01-21 10:01:56","115.21.224.117","80","offline","2021-01-26","Emotet"
"2021-01-21 10:02:17","202.79.24.136","443","offline","2021-02-04","Emotet"
"2021-01-21 10:02:21","181.30.61.163","443","offline","2021-01-26","Emotet"
"2021-01-21 10:02:39","110.172.180.180","8080","offline","2021-01-25","Emotet"
"2021-01-21 10:02:58","70.92.118.112","80","offline","2021-01-26","Emotet"
"2021-01-21 10:02:58","59.21.235.119","80","offline","2021-01-26","Emotet"
"2021-01-21 10:09:00","195.159.28.244","8080","offline","2021-01-26","Emotet"
"2021-01-21 10:09:26","152.231.89.226","80","offline","2021-01-26","Emotet"
"2021-01-21 10:09:30","110.39.162.2","443","offline","2021-01-26","Emotet"
"2021-01-21 10:09:31","93.146.143.191","80","offline","2021-01-26","Emotet"
"2021-01-21 10:09:32","172.245.248.239","8080","offline","2021-01-26","Emotet"
"2021-01-21 10:09:51","80.249.176.206","80","offline","2021-01-26","Emotet"
"2021-01-21 10:09:54","110.145.11.73","80","offline","2021-01-26","Emotet"
"2021-01-21 10:10:26","191.223.36.170","80","offline","2021-01-25","Emotet"
"2021-01-21 10:10:31","82.145.43.153","8080","offline","2021-01-26","Emotet"
"2021-01-21 10:10:43","24.230.124.78","80","offline","","Emotet"
"2021-01-21 10:10:44","110.145.101.66","443","offline","","Emotet"
"2021-01-21 10:10:54","75.109.111.18","80","offline","2021-01-26","Emotet"
"2021-01-21 10:10:57","175.207.12.52","8080","offline","2021-01-26","Emotet"
"2021-01-21 10:11:58","109.116.245.80","80","offline","2021-01-26","Emotet"
"2021-01-21 10:12:29","45.230.228.26","443","offline","2021-01-26","Emotet"
"2021-01-21 10:12:39","143.0.85.206","7080","offline","","Emotet"
"2021-01-21 10:12:40","190.210.246.253","80","offline","2021-01-26","Emotet"
"2021-01-21 10:19:36","47.144.21.37","80","offline","","Emotet"
"2021-01-21 10:19:38","181.165.68.127","80","offline","2021-01-26","Emotet"
"2021-01-21 10:20:10","24.164.79.147","8080","offline","2021-01-26","Emotet"
"2021-01-21 10:26:27","139.5.101.203","80","offline","2021-01-25","Emotet"
"2021-01-21 10:38:35","190.162.232.138","80","offline","2021-01-26","Emotet"
"2021-01-21 10:39:55","93.149.120.214","80","offline","","Emotet"
"2021-01-21 10:40:08","217.160.19.232","8080","offline","2021-01-26","Emotet"
"2021-01-21 10:57:56","31.27.59.105","80","offline","2021-01-26","Emotet"
"2021-01-21 11:15:37","152.169.22.67","80","offline","2021-01-25","Emotet"
"2021-01-21 11:16:06","2.82.75.215","80","offline","2021-01-25","Emotet"
"2021-01-21 11:16:44","197.211.245.21","80","offline","2021-01-26","Emotet"
"2021-01-21 11:17:09","118.83.154.64","443","offline","","Emotet"
"2021-01-21 11:17:45","201.185.69.28","443","offline","2021-01-25","Emotet"
"2021-01-21 11:27:36","177.85.167.10","80","offline","2021-01-25","Emotet"
"2021-01-21 12:32:22","190.251.200.206","80","offline","2021-01-26","Emotet"
"2021-01-21 12:34:44","51.38.71.84","443","offline","2021-01-26","Emotet"
"2021-01-21 12:58:18","201.163.74.204","80","offline","2021-01-25","Emotet"
"2021-01-21 13:26:31","82.208.146.142","7080","offline","2021-01-26","Emotet"
"2021-01-21 13:53:36","89.106.251.163","80","offline","2021-01-26","Emotet"
"2021-01-21 13:53:37","78.189.148.42","80","offline","2021-01-26","Emotet"
"2021-01-21 14:15:14","167.99.105.11","8080","offline","2021-01-26","Emotet"
"2021-01-21 14:47:43","190.19.169.69","443","offline","","Emotet"
"2021-01-21 14:47:44","70.183.211.3","80","offline","2021-01-26","Emotet"
"2021-01-21 14:47:50","180.222.161.85","80","offline","2021-01-26","Emotet"
"2021-01-21 14:47:50","75.113.193.72","80","offline","2021-01-25","Emotet"
"2021-01-21 14:47:53","91.233.197.70","80","offline","","Emotet"
"2021-01-21 14:47:53","78.182.254.231","80","offline","","Emotet"
"2021-01-21 14:47:53","201.212.61.66","80","offline","2021-01-25","Emotet"
"2021-01-21 16:30:26","200.75.39.254","80","offline","2021-01-25","Emotet"
"2021-01-21 16:30:56","191.241.233.198","80","offline","2021-01-25","Emotet"
"2021-01-21 16:31:38","105.209.235.113","8080","offline","2021-01-26","Emotet"
"2021-01-21 16:32:08","190.251.216.100","80","offline","2021-01-25","Emotet"
"2021-01-21 16:32:13","190.45.24.210","80","offline","2021-01-25","Emotet"
"2021-01-21 16:40:02","82.48.39.246","80","offline","2021-01-26","Emotet"
"2021-01-21 16:40:35","190.64.88.186","443","offline","2021-01-25","Emotet"
"2021-01-21 16:49:03","187.161.206.24","80","offline","","Emotet"
"2021-01-21 17:26:28","186.96.170.61","80","offline","2021-01-24","Emotet"
"2021-01-21 18:16:30","93.146.48.84","80","offline","2021-01-25","Emotet"
"2021-01-21 18:41:02","161.0.153.60","80","offline","2021-01-25","Emotet"
"2021-01-22 07:16:26","120.51.34.254","80","offline","2021-01-26","Emotet"
"2021-01-22 07:18:03","203.160.167.243","80","offline","2021-01-26","Emotet"
"2021-01-22 07:18:41","185.183.16.47","80","offline","2021-01-26","Emotet"
"2021-01-22 07:19:01","78.188.225.105","80","offline","2021-01-26","Emotet"
"2021-01-22 07:27:08","27.78.27.110","443","offline","2021-01-26","Emotet"
"2021-01-22 07:30:27","152.32.75.74","443","offline","2021-01-26","Emotet"
"2021-01-22 07:31:26","82.78.179.117","443","offline","","Emotet"
"2021-01-22 07:32:53","115.79.195.246","80","offline","2021-01-26","Emotet"
"2021-01-22 07:36:58","49.206.16.156","80","offline","2021-01-26","Emotet"
"2021-01-22 07:55:49","122.116.104.238","8443","offline","2021-01-26","Emotet"
"2021-01-22 10:09:15","109.101.137.162","8080","offline","2021-01-26","Emotet"
"2021-01-22 10:38:04","190.55.186.229","80","offline","2021-01-26","Emotet"
"2021-01-22 10:49:48","209.33.120.130","80","offline","2021-01-26","Emotet"
"2021-01-22 10:49:48","217.160.169.110","8080","offline","2021-01-26","Emotet"
"2021-01-22 10:49:48","51.255.203.164","8080","offline","2021-01-26","Emotet"
"2021-01-22 10:49:48","84.232.229.24","80","offline","2021-01-26","Emotet"
"2021-01-22 10:49:48","201.48.121.65","443","offline","2021-01-26","Emotet"
"2021-01-22 10:49:49","85.105.239.184","443","offline","2021-01-25","Emotet"
"2021-01-22 10:59:41","108.53.88.101","443","offline","","Emotet"
"2021-01-22 10:59:42","79.130.130.240","8080","offline","2021-01-26","Emotet"
"2021-01-22 11:09:43","195.159.28.230","8080","offline","2021-01-26","Emotet"
"2021-01-22 11:45:48","98.109.133.80","80","offline","2021-01-26","Emotet"
"2021-01-22 11:45:55","181.10.46.92","80","offline","","Emotet"
"2021-01-22 12:05:38","71.72.196.159","80","offline","2021-01-26","Emotet"
"2021-01-22 12:08:15","24.69.65.8","8080","offline","2021-01-26","Emotet"
"2021-01-22 12:48:18","95.76.153.115","80","offline","2021-01-26","Emotet"
"2021-01-22 12:59:16","197.232.36.108","80","offline","2021-01-26","Emotet"
"2021-01-22 13:09:11","190.18.184.113","80","offline","","Emotet"
"2021-01-22 16:19:51","69.38.130.14","80","offline","","Emotet"
"2021-01-22 19:58:12","172.193.14.201","80","offline","2021-01-25","Emotet"
"2021-01-23 07:12:17","88.58.209.2","80","offline","2021-01-26","Emotet"
"2021-01-23 13:52:13","186.146.229.172","80","offline","2021-01-26","Emotet"
"2021-01-23 15:01:01","188.135.15.49","80","offline","2021-01-26","Emotet"
"2021-01-23 20:57:10","50.91.114.38","80","offline","","Emotet"
"2021-01-24 01:57:15","181.171.209.241","443","offline","2021-01-26","Emotet"
"2021-01-24 02:47:23","85.105.205.77","8080","offline","2021-01-26","Emotet"
"2021-01-24 03:27:13","123.176.25.234","80","offline","2021-01-26","Emotet"
"2021-01-24 07:52:49","91.90.88.5","443","offline","2021-02-07","Dridex"
"2021-01-25 00:38:18","122.116.104.238","8080","offline","2021-01-26","Emotet"
"2021-01-25 04:51:40","78.206.229.130","80","offline","2021-01-26","Emotet"
"2021-01-25 11:15:47","79.133.6.236","8080","offline","2021-01-25","Emotet"
"2021-01-25 12:02:10","190.240.194.77","443","offline","2021-01-26","Emotet"
"2021-01-25 14:02:57","154.127.113.242","80","offline","2021-01-25","Emotet"
"2021-01-25 15:26:46","45.33.94.33","5037","offline","2021-09-11","Dridex"
"2021-01-25 15:26:46","159.89.91.92","5037","offline","2021-01-30","Dridex"
"2021-01-25 15:26:46","97.107.127.161","443","offline","2021-09-08","Dridex"
"2021-01-25 15:26:47","158.69.118.130","1443","offline","2021-11-19","Dridex"
"2021-01-26 03:22:41","142.44.247.57","4043","offline","2022-10-17","Dridex"
"2021-01-26 03:22:41","77.220.64.140","443","offline","2021-02-24","Dridex"
"2021-01-26 08:30:56","59.148.253.194","8080","offline","2021-02-04","Emotet"
"2021-01-26 08:36:11","94.23.45.86","7080","offline","2021-01-26","Emotet"
"2021-01-26 08:37:13","103.86.49.11","8080","offline","2021-02-01","Emotet"
"2021-01-26 08:38:04","51.75.33.120","8080","offline","2021-01-26","Emotet"
"2021-01-26 08:39:35","85.234.143.94","8080","offline","2021-01-26","Emotet"
"2021-01-26 08:39:38","167.86.68.49","8080","offline","2021-01-26","Emotet"
"2021-01-26 08:39:44","46.105.131.87","80","offline","2021-01-26","Emotet"
"2021-01-26 08:40:08","162.243.125.212","8080","offline","2021-01-26","Emotet"
"2021-01-26 08:51:41","104.131.44.150","8080","offline","2021-01-26","Emotet"
"2021-01-26 08:52:43","104.131.123.136","443","offline","2022-06-08","Emotet"
"2021-01-26 09:31:14","162.241.92.219","8080","offline","2021-02-04","Emotet"
"2021-01-26 13:46:53","72.188.173.74","80","offline","2021-01-26","Emotet"
"2021-01-26 17:53:18","200.111.198.76","80","offline","","Emotet"
"2021-01-27 10:34:49","193.90.12.20","443","offline","2021-05-18","Dridex"
"2021-01-27 10:34:49","185.181.9.76","5037","offline","2021-06-28","Dridex"
"2021-01-27 10:34:53","175.207.13.56","5353","offline","2021-06-09","Dridex"
"2021-01-27 11:00:43","212.129.24.84","5037","offline","2021-02-01","Dridex"
"2021-02-01 11:50:57","77.220.64.131","443","offline","2021-02-24","Dridex"
"2021-02-01 11:54:08","192.99.41.136","981","offline","2021-10-19","Dridex"
"2021-02-01 11:54:08","5.196.204.251","5037","offline","2021-02-17","Dridex"
"2021-02-01 11:54:08","24.229.3.146","4664","offline","2021-02-17","Dridex"
"2021-02-01 11:56:19","97.107.127.227","443","offline","2021-07-20","Dridex"
"2021-02-01 11:56:20","87.106.18.216","5037","offline","2021-05-17","Dridex"
"2021-02-01 11:56:20","185.184.25.235","5037","offline","2021-09-08","Dridex"
"2021-02-01 19:41:23","41.211.125.59","447","offline","2021-04-22","TrickBot"
"2021-02-01 19:55:56","118.67.216.238","449","offline","2021-02-25","TrickBot"
"2021-02-01 19:56:01","36.94.164.249","447","offline","2021-03-03","TrickBot"
"2021-02-01 19:56:26","92.242.214.203","449","offline","2021-02-17","TrickBot"
"2021-02-01 20:11:25","103.91.244.102","449","offline","2021-03-02","TrickBot"
"2021-02-01 20:11:25","45.226.124.226","447","offline","2021-02-11","TrickBot"
"2021-02-02 00:55:53","45.234.248.66","449","offline","2021-03-18","TrickBot"
"2021-02-02 00:55:55","177.87.0.7","447","offline","2022-03-01","TrickBot"
"2021-02-02 03:13:24","117.212.193.62","449","offline","2021-03-18","TrickBot"
"2021-02-02 03:28:40","36.89.193.235","447","offline","2021-07-15","TrickBot"
"2021-02-02 10:01:00","201.184.190.59","449","offline","2021-03-18","TrickBot"
"2021-02-02 10:01:02","179.191.108.58","449","offline","2021-02-26","TrickBot"
"2021-02-02 10:28:05","176.62.180.164","447","offline","2021-02-21","TrickBot"
"2021-02-02 11:46:14","194.5.249.93","447","offline","2021-02-03","TrickBot"
"2021-02-02 12:02:44","200.142.124.146","447","offline","2021-07-16","TrickBot"
"2021-02-02 15:13:34","181.211.103.254","447","offline","2021-02-12","TrickBot"
